Title,Artist,Genre,id,title_spotify,album,sp_popularity,colab,release_date,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,key,mode,tempo,duration
"No Woman, No Cry",Bob Marley & The Wailers,Reggae,3PQLYVskjUeRmRIfECsL0X,No Woman No Cry,Natty Dread,58.0,N,1974,0.898,0.365,-10.452,0.0462,0.159,9.28e-06,0.132,0.563,0.0,1.0,98.53,226240.0
One Love,Bob Marley & The Wailers,Reggae,7oNgPClUYdscWWHa5PF1gT,One Love / People Get Ready,Exodus,72.0,N,1977-06-03,0.671,0.513,-9.598,0.366,0.0682,0.0,0.0674,0.94,5.0,0.0,154.187,172933.0
Buffalo Soldier,Bob Marley,Reggae,7BfW1eoDh27W69nxsmRicb,Buffalo Soldier,Confrontation,71.0,N,1983-05-23,0.929,0.463,-8.651,0.308,0.143,5.3e-06,0.0634,0.755,9.0,1.0,124.084,255840.0
Could You Be Loved,Bob Marley & The Wailers,Reggae,5O4erNlJ74PIF6kGol1ZrC,Could You Be Loved,Uprising,80.0,N,1980-06-10,0.916,0.72,-8.548,0.1,0.36,0.00016,0.0958,0.761,0.0,1.0,103.314,237000.0
"Get Up, Stand Up",Bob Marley & The Wailers,Reggae,5MVW8uIuNuL7CQ0RyyogHI,"Get Up, Stand Up",Burnin' (Deluxe Edition),41.0,N,1973-10-19,0.826,0.546,-9.518,0.385,0.321,5.13e-05,0.068,0.866,6.0,0.0,148.244,221933.0
Redemption Song,Bob Marley,Reggae,07zD3s1Xu3fmeV1J8mfVlA,Redemption Song - Bob Marley: One Love - Music Inspired By The Film,Redemption Song (Bob Marley: One Love - Music Inspired By The Film),46.0,N,2024-02-09,0.663,0.393,-9.115,0.0277,0.478,0.0,0.103,0.51,5.0,1.0,111.822,220507.0
Is This Love,Bob Marley & The Wailers,Reggae,6JRLFiX9NJSoRRKxowlBYr,Is This Love,Kaya,76.0,N,1978,0.776,0.561,-8.375,0.103,0.111,0.0,0.067,0.743,6.0,0.0,122.246,232200.0
Jamming,Bob Marley & The Wailers,Reggae,4aUCPal9bxTnQkEfdIY6sG,Jamming,Legend - The Best Of Bob Marley And The Wailers,64.0,N,2002-01-01,0.941,0.462,-11.029,0.282,0.129,9.91e-05,0.114,0.758,11.0,0.0,123.674,211427.0
Three Little Birds,Bob Marley & The Wailers,Reggae,7vggqxNKwd6xdRoYS0pQtM,Three Little Birds,Legend - The Best Of Bob Marley And The Wailers,67.0,N,2002-01-01,0.825,0.494,-10.486,0.0699,0.00956,5.82e-06,0.0361,0.627,9.0,1.0,74.103,180440.0
Stir It Up,Bob Marley & The Wailers,Reggae,4FNm4ZJaUVLDCMXcqwS6zY,Stir It Up,Legend - The Best Of Bob Marley And The Wailers,58.0,N,2002-01-01,0.751,0.463,-10.96,0.104,0.641,0.208,0.0315,0.926,9.0,1.0,150.19,330760.0
Satisfy My Soul,Bob Marley & The Wailers,Reggae,5Uv1YNz6uBepPLDdoFANKQ,Satisfy My Soul,Kaya,64.0,N,1978,0.779,0.408,-9.205,0.22,0.00342,0.000146,0.253,0.433,7.0,1.0,127.942,271000.0
